Store Number,Store Name,County Number
5137,Shop N Save  /  NW 2nd  DSM,77
3495,Great Pastimes,53
4219,Lake Liquors Wine and Spirits,17
3691,Target Store T-1791 / Urbandale,77
4637,Kwik Shop #560 / Cedar Rapids,57
4652,Brady Mart Food & Liquor,82
4999,Casey's General Store #2680 / Clarks,12
2548,Hy-Vee Food Store / Altoona,77
4642,Liquor and Tobacco Outlet / Univ Ave,7
4186,H and A Mini Mart / Phillips 66,77
2527,Hy-Vee Food Store #5 / Des Moines,77
4631,Thunder Ridge Ampride,7
4997,Downtown Pantry,77
3797,The Liquor Store / Davenport,82
4311,Fareway Stores #508 / Fort Dodge,94
5108,Tobacco 4 Less / State St,82
4231,Fareway Stores #719 / Le Mars,75
4728,Walgreens #05077 / Iowa City,52
4397,Quik Trip #514 / Ankeny,77
4586,Kum & Go #545 / Rockwell City,13
2659,Hy-Vee Food Store / Corydon,93
4854,Casey's General Store #3029 / Armstr,32
2666,Hy-Vee #2 / Ankeny,77
4177,"Good Luck, Inc.",64
4897,Gasland #102 / Burlington,29
3943,Good and Quick Co,85
5132,Phillips 66,77
4463,Casey's General Store #3031 / Garner,41
4979,Sam Liquor,57
3565,Hartig Drug Store #10,52
3704,Celtics Beverage Company,74
2619,Hy-Vee Wine and Spirits / WDM,77
4831,L & M Gas & Grocery / Boone,8
3766,Kolby's Liquor Store,19
3697,Oky Doky #2 / Dubuque,31
2545,Hy-Vee Drugstore / Iowa City,52
2327,West Side Spirits,2
3970,"The Liquor Cabinet, Inc.",85
4930,Casey's General Store #3251 / Boone,8
2584,Hy-Vee Food Store / Fort Madison,56
2503,Hy-Vee Drugstore / Ankeny,77
2550,Hy-Vee Food Store / Osceola,20
2556,Hy-Vee Wine and Spirits / Esthervill,32
4914,Prime Mart / Center St,7
4698,Quality Quick Stop,51
2555,Hy-Vee Food Store / Keokuk,56
2844,CVS Pharmacy #8547 / Iowa City,52
4256,Fareway Stores #912 / Sioux Center,84
4185,Fareway Stores #737 / Grinnell,79
2652,Hy-Vee DrugStore / Mason City,17
4496,B P ON 1ST,57
4306,Northside One Stop / Hampton,35
4085,Save More Foods / Waterloo,7
4229,Fareway Stores #790 / Harlan,83
4413,KUM & GO #439 / WAPELLO,58
4648,Prime Mart / Broadway Waterloo,7
2562,Hy-Vee Food Store / Fort Dodge,94
2955,Dahl's / Beaver,77
3629,Wal-Mart 1965 / Council Bluffs,78
2106,Hillstreet News and Tobacco,7
4887,Kum & Go #66 / West Des Moines,77
4370,Kum & Go #240 / North Ave Norwalk,91
4004,Wal-Mart 4256 / Ames,85
3872,Target Store T-0086 / Dubuque,31
3707,Target Store T-1768 / Cedar Rapids,57
4697,Southside Liquor & Tobacco / Iowa Ci,52
4366,Kum & Go #137 / Tiffin,52
3825,Shop N Save #2 / E 14th,77
2622,Hy-Vee Food Store / Iowa City,52
4001,Wal-Mart 1787 / Carroll,14
4098,Wal-Mart 1475 / Washington,92
2806,Osco #881 / Clinton,23
4862,Pronto Market / Kingsley,75
2849,CVS Pharmacy #10162 / Des Moines,77
4246,Fareway Stores #938 / Shenandoah,73
4881,Sperry One Stop Shop LLC,14
3841,Hartig Drug Company #2 / Locust,31
4260,Fareway Stores #699 / Osceola,20
2644,Hy-Vee Fort Dodge Wine and Spirits,94
4860,Jims Foods,57
4236,Fareway Stores #551 / Eagle Grove,99
3670,Wal-Mart 2827 / Coralville,52
4239,Fareway Stores #850 / Spirit Lake,30
5007,Brother's Market / Denver,9
4559,Osage Payless Foods,66
4775,Casey's General Store #37 / Dakota C,46
4105,Fareway Stores #426 / Nevada,85
4170,Dewey's Jack and Jill,16
4201,Fareway Stores #022 / Sioux City,97
3934,Wal-Mart 1509 / Maquoketa,49
4382,Kum & Go #8 / 8th St / WDM,77
5023,Hawkeye Convenience Stores / 16th Av,57
